"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.amenagement-numerique.gouv.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","www.amenagement-numerique.gouv.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","www.amenagement-numerique.gouv.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.amenagement-numerique.gouv.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
