"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.francenum.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.francenum.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.francenum.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.francenum.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.francenum.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.francenum.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.francenum.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.francenum.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.francenum.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.francenum.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.francenum.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.francenum.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.francenum.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.francenum.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.francenum.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.francenum.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.francenum.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.francenum.gouv.fr/45.223.57.83","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.francenum.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.francenum.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.francenum.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.francenum.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.francenum.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","www.francenum.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.francenum.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.francenum.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.francenum.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","www.francenum.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","www.francenum.gouv.fr/45.223.57.83","443","OK","SHA256 with RSA","",""
"cert_keySize","www.francenum.gouv.fr/45.223.57.83","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.francenum.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.francenum.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.francenum.gouv.fr/45.223.57.83","443","INFO","0623A59B64AA0A9D0A413DB1BAAEE182","",""
"cert_serialNumberLen","www.francenum.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","www.francenum.gouv.fr/45.223.57.83","443","INFO","17F1509EB56F6C500A8D86C1E6037A8D8147C197","",""
"cert_fingerprintSHA256","www.francenum.gouv.fr/45.223.57.83","443","INFO","824EAAF5D488813F19E42A7E8FE134BAA506647088F3FB7D344BB143D6861BAD","",""
"cert","www.francenum.gouv.fr/45.223.57.83","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJmTCCB4GgAwIBAgIQBiOlm2SqCp0KQT2xuq7hgjANBgkqhkiG9w0BAQsFADCBjTELMAkGA1UEBhMCTkwxIDAeBgNVBAoMF1F1b1ZhZGlzIFRydXN0bGluayBCLlYuMRcwFQYDVQRhDA5OVFJOTC0zMDIzNzQ1OTFDMEEGA1UEAww6RGlnaUNlcnQgUXVvVmFkaXMgRzMgUXVhbGlmaWVkIFRMUyBSU0E0MDk2IFNIQTI1NiAyMDIzIENBMTAeFw0yNjA5MDQwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMIHJMRMwEQYLKwYBBAGCNzwCAQMTAkZSMRowGAYDVQRhExFOVFJGUi0xMzAgMDA2IDAxODEaMBgGA1UEDwwRR292ZXJubWVudCBFbnRpdHkxFDASBgNVBAUTCzEzMCAwMDYgMDE4MQswCQYDVQQGEwJGUjEOMAwGA1UEBxMFUGFyaXMxKzApBgNVBAoTIkRJUkVDVElPTiBHRU5FUkFMRSBERVMgRU5UUkVQUklTRVMxGjAYBgNVBAMTEWZyYW5jZW51bS5nb3V2LmZyMIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEA3AcVLEX9kQtIKsSkwow3BWiVjFnVkeR1knHWv3NDd0Zk6kzCq2yhlEq6WqXtqV2TxzXSMjYHtYvW+ONB4m4x/o6sKlacZuY0KA70lvMAJygIsElZWT3Lq2MXkFv1k57n3qXmSyDW+97/bGM1qzKmFD81jAKc90k0hen1fGDqwSO7NbuMZpPORiL/FHFSsXA+hhKSDN2NpmyEsDXQvemB4t6NZDbnEhOgmpL0om1eAHdnXaw0eynnJjtZp1+JxDkwcyd9HKmcrdbKwByrhoeLaaYUbfVO8eFX4rMLc5AZSASa5fY/XfuTJlzo8s03ek1Fvk+DXsoRwhOgyCqYHcb8TqbCw+0o9JElefumJXVZ7mvqS2XqTseO+u41GXp+0vS7/LAD692eHyt+ttL5SBP7V/kR8mHbepVDZ25nhe1BP3n50M1mUXi0sQoWuuq74VWosAePzjG4+p/Q3xnX5wb7Mk3LstxTi+0I4ISD+rc+7d/vuHm/lrhfVnTgAt77afTXAgMBAAGjggQ1MIIEMTAfBgNVHSMEGDAWgBTMyQ+ba7os6sQfUSYnPskhEJfUYDAdBgNVHQ4EFgQUuZ39mLlvKdKalNODfWrmFC7LQokwMwYDVR0RBCwwKoIRZnJhbmNlbnVtLmdvdXYuZnKCFXd3dy5mcmFuY2VudW0uZ291di5mcjBzBgNVHSAEbDBqMAkGBwQAi+xAAQQwDgYMKwYBBAG+WAACZAECMEQGCisGAQQBvlgBg0IwNjA0BggrBgEFBQcCARYoaHR0cDovL3d3dy5xdW92YWRpc2dsb2JhbC5jb20vcmVwb3NpdG9yeTAHBgVngQwBATAOBgNVHQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwXgYDVR0fBFcwVTBToFGgT4ZNaHR0cDovL2NybC5kaWdpY2VydC5ldS9EaWdpQ2VydFF1b1ZhZGlzRzNRdWFsaWZpZWRUTFNSU0E0MDk2U0hBMjU2MjAyM0NBMS5jcmwwgZQGCCsGAQUFBwEBBIGHMIGEMCMGCCsGAQUFBzABhhdodHRwOi8vb2NzcC5kaWdpY2VydC5ldTBdBggrBgEFBQcwAoZRaHR0cDovL2NhY2VydHMuZGlnaWNlcnQuZXUvRGlnaUNlcnRRdW9WYWRpc0czUXVhbGlmaWVkVExTUlNBNDA5NlNIQTI1NjIwMjNDQTEuY3J0MAwGA1UdEwEB/wQCMAAwIQYFZ4EMAwEEGDAWEwNOVFITAkZSDAsxMzAgMDA2IDAxODB2BggrBgEFBQcBAwRqMGgwCAYGBACORgEBMAoGCCsGAQUFBwsCMDsGBgQAjkYBBTAxMC8WKWh0dHBzOi8vd3d3LnF1b3ZhZGlzZ2xvYmFsLmNvbS9yZXBvc2l0b3J5EwJlbjATBgYEAI5GAQYwCQYHBACORgEGAzCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYATGPcmOWcHauI9h6KPd6uj6tEozd7X5uUw/uhnPzBviYAAAGga+l6igAABAMARzBFAiEAi19gdV5UjEHQF4YVUM3UtnNsPxwPQD3U4TKY+oJyhDICIGrVf3CPlOEEzhSF56xJtToBdSGr37MBH0S08SWYliJGAHYARMK9DOkUDmSlyUoBkwpaobs1lw4A7hEWiWgqHETXtWYAAAGga+l6MAAABAMARzBFAiEA8PzM7tZZfTSUUXuqRJOSFFtT57XZDKkcIuIE7/T2sNgCIF0GSfIwtjERaXNiGqk3VOnWYnF+IlsOWkI/LwUpoKypAHYAHJ9oLOn68EVpUPgbloqH3dsyENhM5siy44JSSsTPWZ8AAAGga+l8LAAABAMARzBFAiEA/AP3WgWKeL7vdvNIzBObSRYvby6DVy9nFT6JXDFbaVcCIG3BL0GcjQO3whthbkeV7G6roYR6+UtLNnSAcCZ8YiztMA0GCSqGSIb3DQEBCwUAA4ICAQCRdojnbWrnOX5Y3Y6Iy4PAHRsF+VH64BEmXvGYySUFGECCvjvlNzHlu/tvKdhMFjXJhisKrirxoc45BdFesFT76ho25sMd/c8NBh9vKbFR7runD11+J2+eO/i4XHJ+yuvnZKTKODbjGZFQJZTy9TeMVmWbB+TD6ZkfJ/aVXVcyobLT1v4y/iuSh+l0wGrsoDUr/LQfPFB8Fxu8d3LiIvirJc5J3v6wDggECsSbbtsjB2ZljrAvpwpg8WryKa8x52a4Rf6XzGWI/1FxVIQhmik6GcOSZ1FBREdI7g5MrMvUlx7g87ERiD+dTYsj2kLeAey7IGT+KRU1VwqJVBxLgCYhzdeQXF4siTxW3LCSCojCx9Jg/pPiDxxPWZTulsW+cIBxgqgCitRAHDJohO0Af0DUWXiWzKaKdFhX4APAK5aikyqzF/NhaAWgnhsozLUvkL3du7vIW1S196Z7Z7gxu4JIlPLn3C4ftir30+SgZztzu1DiHJ78bYcldKFWfqR1jgBlrjTJ4AtP4Vz0qqHQWopPStkhaFE9xC7XbjcFk2fivZyx2E2fNNoCcx4+N2gTQs+ifHn5/1Bbp5SuHmKV1pScqDEs8wk5ujYkbBg9KJK3Ac0iFRgGSi+cUQ0iDXeAeW2Mvjy1upy0t+kSdK15jfP0D7keRqABNOUqYHjKtqMQuQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.francenum.gouv.fr/45.223.57.83","443","OK","francenum.gouv.fr","",""
"cert_commonName_wo_SNI","www.francenum.gouv.fr/45.223.57.83","443","INFO","imperva.com","",""
"cert_subjectAltName","www.francenum.gouv.fr/45.223.57.83","443","INFO","francenum.gouv.fr www.francenum.gouv.fr","",""
"cert_trust","www.francenum.gouv.fr/45.223.57.83","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.francenum.gouv.fr/45.223.57.83","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.francenum.gouv.fr/45.223.57.83","443","INFO","no","",""
"cert_expirationStatus","www.francenum.gouv.fr/45.223.57.83","443","OK","187 >= 60 days","",""
"cert_notBefore","www.francenum.gouv.fr/45.223.57.83","443","INFO","2026-09-04 00:00","",""
"cert_notAfter","www.francenum.gouv.fr/45.223.57.83","443","OK","2027-03-12 23:59","",""
"cert_extlifeSpan","www.francenum.gouv.fr/45.223.57.83","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.francenum.gouv.fr/45.223.57.83","443","INFO","not present","",""
"cert_crlDistributionPoints","www.francenum.gouv.fr/45.223.57.83","443","INFO","http://crl.digicert.eu/DigiCertQuoVadisG3QualifiedTLSRSA4096SHA2562023CA1.crl","",""
"cert_ocspURL","www.francenum.gouv.fr/45.223.57.83","443","INFO","http://ocsp.digicert.eu","",""
"OCSP_stapling","www.francenum.gouv.fr/45.223.57.83","443","OK","offered","",""
"cert_ocspRevoked","www.francenum.gouv.fr/45.223.57.83","443","OK","not revoked","",""
"cert_mustStapleExtension","www.francenum.gouv.fr/45.223.57.83","443","INFO","--","",""
"DNS_CAArecord","www.francenum.gouv.fr/45.223.57.83","443","OK","issue=certigna.com, issue=digicert.com, issue=digicert.eu, issue=letsencrypt.org, issue=quovadisglobal.com, issue=sectigo.com","",""
"certificate_transparency","www.francenum.gouv.fr/45.223.57.83","443","OK","yes (certificate extension)","",""
"certs_countServer","www.francenum.gouv.fr/45.223.57.83","443","INFO","2","",""
"certs_list_ordering_problem","www.francenum.gouv.fr/45.223.57.83","443","INFO","no","",""
"cert_caIssuers","www.francenum.gouv.fr/45.223.57.83","443","INFO","DigiCert QuoVadis G3 Qualified TLS RSA4096 SHA256 2023 CA1 (QuoVadis Trustlink B.V. from NL)","",""
