"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","www.igf.gouv.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","www.igf.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.igf.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.igf.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.igf.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.igf.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.igf.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.igf.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.igf.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.igf.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.igf.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.igf.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.igf.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.igf.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.igf.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.igf.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.igf.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.igf.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.igf.gouv.fr/45.223.57.83","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.igf.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.igf.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.igf.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.igf.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.igf.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","www.igf.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.igf.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.igf.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.igf.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","www.igf.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","www.igf.gouv.fr/45.223.57.83","443","OK","SHA256 with RSA","",""
"cert_keySize","www.igf.gouv.fr/45.223.57.83","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.igf.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.igf.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.igf.gouv.fr/45.223.57.83","443","INFO","444032A502A05EF0A71DEBCB9CDAC113","",""
"cert_serialNumberLen","www.igf.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","www.igf.gouv.fr/45.223.57.83","443","INFO","1CA4753831C82E014B5DADD90ADEFEEC8D971636","",""
"cert_fingerprintSHA256","www.igf.gouv.fr/45.223.57.83","443","INFO","A5479FE000DB0A4423D4BB8AD634B3198AA38773134864739D170393E628076F","",""
"cert","www.igf.gouv.fr/45.223.57.83","443","INFO","-----BEGIN CERTIFICATE-----\nMIIH4TCCBkmgAwIBAgIQREAypQKgXvCnHevLnNrBEzANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJHQjEYMBYGA1UEChMPU2VjdGlnbyBMaW1pdGVkMTcwNQYDVQQDEy5TZWN0aWdvIFB1YmxpYyBTZXJ2ZXIgQXV0aGVudGljYXRpb24gQ0EgT1YgUjM2MB4XDTI2MDkxMDAwMDAwMFoXDTI3MDMyNzIzNTk1OVowfjELMAkGA1UEBhMCRlIxDjAMBgNVBAgTBVBhcmlzMUUwQwYDVQQKEzxTRUNSRVRBUklBVCBHRU5FUkFMIERFUyBNSU5JU1RFUkVTIEVDT05PTUlRVUVTIEVUIEZJTkFOQ0lFUlMxGDAWBgNVBAMTD3d3dy5pZ2YuZ291di5mcjCCAaIwDQYJKoZIhvcNAQEBBQADggGPADCCAYoCggGBAPTIGT+0fPxcscEMAmx7svDgB352xevZjtZc/lN4rOVf9Q9io3IYHzVocs2myErsK7p54dvmcGZW9TXdxa3fFO7mwDvxM54OUfxCoo1aXf8RtTA5X9D5c57c5XThmylCcNY1nlpaowwQhUvaCaoeVnrG5201ijhJZiOTmUeatyi7iUTT8fS1sTrHYQK/9tm/79s4wPjs3lANvb8sust3VCbaaEe9GrnNOJak8t7EWuAbXyb/rdp/LfS6bNgKDkHW1wrAPoQ9GwoX/Zai1OrYWHQ/lptsVkgME+eUzwleUm6IulgIcPwRLMxI+6KJforUBHOD4br1M9I62fysA0FJ3rMFZNDi7mUhAKGbivttYu8MXUncFg0eDyziDR0ZLXNEca6DFthDUeeZLxyaDsUJxp93MOkpOBhXFKoumAjq7tjaUJSVJR8K9Tql1nEfvKpdNS1ISo7iRaDvhn2WmLgHeisRhcECMsCTwx8usA6BIgiRbHwc4a+DbB8xttL0wCCZ3wIDAQABo4IDdzCCA3MwHwYDVR0jBBgwFoAU42Z0u3BojSxdTg6mSo+bNyKcgpIwHQYDVR0OBBYEFOqyVA+vTym2CCRLw8haynzOWVpBMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMBMGA1UdJQQMMAoGCCsGAQUFBwMBMEoGA1UdIARDMEEwNQYMKwYBBAGyMQECAQMEMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECAjBUBgNVHR8ETTBLMEmgR6BFhkNodHRwOi8vY3JsLnNlY3RpZ28uY29tL1NlY3RpZ29QdWJsaWNTZXJ2ZXJBdXRoZW50aWNhdGlvbkNBT1ZSMzYuY3JsMIGEBggrBgEFBQcBAQR4MHYwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jcnQuc2VjdGlnby5jb20vU2VjdGlnb1B1YmxpY1NlcnZlckF1dGhlbnRpY2F0aW9uQ0FPVlIzNi5jcnQwIwYIKwYBBQUHMAGGF2h0dHA6Ly9vY3NwLnNlY3RpZ28uY29tMIIBkAYKKwYBBAHWeQIEAgSCAYAEggF8AXoAfwBZbmwzhpSyWXKiVsig6N2QSnboCD3ahzsBCDgoFDzuWQAAAaCLkTNsAAgAAAUAA/dXZwQDAEgwRgIhAIn8Q/PQsTrfxPYwoFXFMWV6I7Eywn5kgncLK9nD99onAiEAk+Mh51lAkOA4lsH16iWT3ZHRIEChdlX9+KcOeEwFsP0AdwAcn2gs6frwRWlQ+BuWiofd2zIQ2EzmyLLjglJKxM9ZnwAAAaCLkTM2AAAEAwBIMEYCIQCL7iy0Hwyed9mu/z/XJPdyfkPY1lyJu4HOTD5ef00JeAIhANOJY+9Z2Bf4tzSn9yCWP7EWrXj+bjqHCSY4vuUJhNiqAH4AooEAGHNOF24dR+CVQPOBulRml81jqENQcW64CU7a8Q0AAAGgi5E1igAIAAAFAAzDN9UEAwBHMEUCIQCCGV2t4TbFQhKTYmxUmdBopO/erhNaRn3D/hlCVwgvxgIgXs8RFKwAqt3hNFZftlYk4nhemaYQt+7HIAzkfNNMhRQwQQYDVR0RBDowOIIPd3d3LmlnZi5nb3V2LmZyggtpZ2YuZ291di5mcoIYd3d3LmlnZi5maW5hbmNlcy5nb3V2LmZyMA0GCSqGSIb3DQEBCwUAA4IBgQCUYGCkQItFLM40OZ7jICAPNYRHv/CleSlT0wGyJJx2jg79qrTRMT730LrQFglLAa1DiQT0B4029IcHxS/qSFcA+IkD5X1Bbmnj1z88/0jUUJ57NY7uANW0lFn/kiuQTNlbN8YdFUmuIkoUXah48LPIOcupcFbZj97yFGiW7Zw33FSicI0EMpsOUA3oQ8hmE6tAU6jlqqd3EceUZmPF2/yJ665WYimKZSeLb6NuYbdAqYQdwLxtPOMAe0RKr7Tv7MS5HbLC4gz8V0gDTEvDxFaACpnrURdF5HZPVOf0/IpMP6zD/6LLokziLqrgTqOvI9la0S76TS7QAqNeT/dwR2g1sxKnYPolDk/XwghcdJOXlqrVIwwAN1JoByh0JodbEq5sMs1j04sWozQ5gCuJOAbvRTIZ9K5OE4+8Frb9WXvRsvhXeQA5VZTVKlCT5oEpnDOw+esZiSejKzOwOhYNWyTuy0CFaahDNjgZvujlsBz8gvXZukPtHvvbEr5Y4KP4L0s=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.igf.gouv.fr/45.223.57.83","443","OK","www.igf.gouv.fr","",""
"cert_commonName_wo_SNI","www.igf.gouv.fr/45.223.57.83","443","INFO","imperva.com","",""
"cert_subjectAltName","www.igf.gouv.fr/45.223.57.83","443","INFO","www.igf.gouv.fr igf.gouv.fr www.igf.finances.gouv.fr","",""
