"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","HTTP","",""
"pre_128cipher","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","",""
"SSLv3","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","",""
"TLS1","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_1","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_2","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","offered","",""
"TLS1_3","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","http/1.1","",""
"cipherlist_NULL","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","www.tourisme-handicap.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"cipherlist_STRONG","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","offered","",""
"cipher-tls1_2_xc030","www.tourisme-handicap.gouv.fr/80.87.236.14","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
