"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_1","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","offered with final","",""
"ALPN","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","actionsociale.finances.gouv.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"cipherlist_STRONG_FS","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"cipher_order-tls1_2","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","server","",""
"cipherorder_TLSv1_2","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","server","",""
"FS","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"FS_ciphers","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","yes","",""
"sessionresumption_ticket","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","supported","",""
"sessionresumption_ID","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","supported","",""
"TLS_timestamp","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","random","",""
"certificate_compression","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","none","",""
"clientAuth","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","none","",""
"cert_numbers","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","1","",""
"cert_signatureAlgorithm","actionsociale.finances.gouv.fr/193.17.19.225","443","OK","SHA256 with RSA","",""
"cert_keySize","actionsociale.finances.gouv.fr/193.17.19.225","443","INFO","RSA 2048 bits (exponent is 65537)","",""
