"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","brexit.gouv.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","brexit.gouv.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","brexit.gouv.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","brexit.gouv.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","brexit.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_1","brexit.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","brexit.gouv.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","brexit.gouv.fr/193.17.19.225","443","OK","offered with final","",""
"ALPN","brexit.gouv.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","brexit.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","brexit.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","brexit.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","brexit.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","brexit.gouv.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","brexit.gouv.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","brexit.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"cipherlist_STRONG_FS","brexit.gouv.fr/193.17.19.225","443","OK","offered","",""
"cipher_order-tls1_2","brexit.gouv.fr/193.17.19.225","443","OK","server","",""
"cipherorder_TLSv1_2","brexit.gouv.fr/193.17.19.225","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","brexit.gouv.fr/193.17.19.225","443","OK","server","",""
"FS","brexit.gouv.fr/193.17.19.225","443","OK","offered","",""
"FS_ciphers","brexit.gouv.fr/193.17.19.225","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","brexit.gouv.fr/193.17.19.225","443","OK","prime256v1 secp384r1 secp521r1","",""
