"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnnumerique.fr/80.87.226.64","443","INFO","HTTP","",""
"pre_128cipher","cnnumerique.fr/80.87.226.64","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnnumerique.fr/80.87.226.64","443","OK","not offered","",""
"SSLv3","cnnumerique.fr/80.87.226.64","443","OK","not offered","",""
"TLS1","cnnumerique.fr/80.87.226.64","443","INFO","not offered","",""
"TLS1_1","cnnumerique.fr/80.87.226.64","443","INFO","not offered","",""
"TLS1_2","cnnumerique.fr/80.87.226.64","443","OK","offered","",""
"TLS1_3","cnnumerique.fr/80.87.226.64","443","OK","offered with final","",""
"ALPN","cnnumerique.fr/80.87.226.64","443","INFO","http/1.1","",""
"cipherlist_NULL","cnnumerique.fr/80.87.226.64","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnnumerique.fr/80.87.226.64","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnnumerique.fr/80.87.226.64","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnnumerique.fr/80.87.226.64","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnnumerique.fr/80.87.226.64","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnnumerique.fr/80.87.226.64","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnnumerique.fr/80.87.226.64","443","OK","offered","",""
"cipherlist_STRONG_FS","cnnumerique.fr/80.87.226.64","443","OK","offered","",""
"cipher_order-tls1_2","cnnumerique.fr/80.87.226.64","443","OK","server","",""
"cipherorder_TLSv1_2","cnnumerique.fr/80.87.226.64","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cnnumerique.fr/80.87.226.64","443","OK","server","",""
"FS","cnnumerique.fr/80.87.226.64","443","OK","offered","",""
"FS_ciphers","cnnumerique.fr/80.87.226.64","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_KEMs","cnnumerique.fr/80.87.226.64","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","cnnumerique.fr/80.87.226.64","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cnnumerique.fr/80.87.226.64","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cnnumerique.fr/80.87.226.64","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cnnumerique.fr/80.87.226.64","443","INFO","yes","",""
"sessionresumption_ticket","cnnumerique.fr/80.87.226.64","443","INFO","supported","",""
"sessionresumption_ID","cnnumerique.fr/80.87.226.64","443","INFO","not supported","",""
"TLS_timestamp","cnnumerique.fr/80.87.226.64","443","INFO","random","",""
"certificate_compression","cnnumerique.fr/80.87.226.64","443","INFO","none","",""
"clientAuth","cnnumerique.fr/80.87.226.64","443","INFO","none","",""
"cert_numbers","cnnumerique.fr/80.87.226.64","443","INFO","1","",""
"cert_signatureAlgorithm","cnnumerique.fr/80.87.226.64","443","OK","SHA256 with RSA","",""
"cert_keySize","cnnumerique.fr/80.87.226.64","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","cnnumerique.fr/80.87.226.64","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cnnumerique.fr/80.87.226.64","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cnnumerique.fr/80.87.226.64","443","INFO","32B897ECF661B8FB3973FF1393CCBCB8","",""
"cert_serialNumberLen","cnnumerique.fr/80.87.226.64","443","INFO","16","",""
"cert_fingerprintSHA1","cnnumerique.fr/80.87.226.64","443","INFO","940A24098289863CFBC648FD3EAFC1BBFEA0E8FF","",""
"cert_fingerprintSHA256","cnnumerique.fr/80.87.226.64","443","INFO","ED8727496CC28B15506B39D3F6101BC91EFFF6C13B8C72EE4E4B80C1A6FBA06C","",""
