"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","retraitesdeletat.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","SHA256 with RSA","",""
"cert_keySize","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","01CB710C400A5915BE1BD0736877118B","",""
"cert_serialNumberLen","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","7F4C2D10294FB95F7E0A7537F1E3EE09ECF1FAB2","",""
"cert_fingerprintSHA256","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","0F2A804EAD205CB345F5C1056C8A550180F125BE704203EE05672F49EE06EC2B","",""
"cert","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","-----BEGIN CERTIFICATE-----\nMIII4DCCBsigAwIBAgIQActxDEAKWRW+G9BzaHcRizANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjUwNDAyMjIwMDAwWhcNMjUwNzAxMjE1OTU5WjCBiTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMTIwMAYDVQQKDClESVJFQ1RJT04gR0VORVJBTEUgREVTIEZJTkFOQ0VTIFBVQkxJUVVFUzEhMB8GA1UEAwwYcmV0cmFpdGVzZGVsZXRhdC5nb3V2LmZyMRMwEQYDVQQFEwpTMzQxNzU4MjkwMIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEApXrygcM4gZWbo7HS0hH9fo2Oh0mMxR9ciSAJx7mQ7CcdNliu80Ms2EJqAc/+gN/ntW5mOJDkNzQcqBy98IHkS99I8rkTSUyD0Mxy2N6EzYDpZAmIWpt0TIqqFvVNLqK1sxfyIGQ2SGwitsx2osRkT1jfQEKgcOqxj/KDTyiOc/xYqBJHjt9RC2DjycjL4RddJU77DIx+ZGhCNqHybnn3sUwAku0t2qhKjhVoXNuL+yUDe/babrvAqEAECnEMCqiEwM33RwuY8ssup10ztM3v5eMYeb6RFlXqlFG9v97554GHkUTphN3/tYh2uwsjbJQwRgw1X/Na1+rvLWGSUSHkmuQTy+7Pt6FsY1Gx/W8956uOSRfaNaaxG7yQbl/+HFJOUoWp/z9Yc/fVYpBaAGx59z2++On/H0gPiOiT2KYAV5c1fE7F1DZ+O0bR+MkFIE7R4z+On1TPMLMG9SswEi6/S6pVB79T8iPLUQ7NAqD0GElyeGUobCw1uIbE0o4sgQrrAgMBAAGjggPNMIIDyTCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQECMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwIwYDVR0RBBwwGoIYcmV0cmFpdGVzZGVsZXRhdC5nb3V2LmZyMB0GA1UdDgQWBBS93rDw714Vt6auDnduUU2B034cGDCCAXwGCisGAQQB1nkCBAIEggFsBIIBaAFmAHQADeHyMCvTDcFAYhIJ6lUu/Ed0fLHX6TDvDkIetH5OqjQAAAGV+kR79AAABAMARTBDAiBQIIvDrIWLUfmR3KtGFHj/cRQwgWh7OdlqOlUQgZmKfwIfWq1qzEaPggahyGmhMwJ4yf3VVQKXwB4Ep5xFA5o+0QB2ABLxTjS9U3JMhAYZw48/ehP457Vih4icbTAFhOvlhiY6AAABlfpEePYAAAQDAEcwRQIhANG1XFv0bw+4eqcKsxnDvu01veKICbkA/kOcRPQT0edaAiAqDazXJo4IlgcfEXM3b0AdeuRr5Bi8QPzDMY4yCxYw7wB2ACjigTj9gyFF6anWqnU3bYN3qIUSs8B/ckFIIdy96YxmAAABlfpEe/gAAAQDAEcwRQIhAOApilyQGYV25QMmC7ABTEqyuIQiejbni/c/fR4X/pL6AiBpi+pwnhyoGr7PdBBjzMgNrsAQ7lEwHQGVElmiDOCo0jANBgkqhkiG9w0BAQsFAAOCAgEAlQemiwwDtDJP3ILxAhBhLIF/BkxmAFHo6n73ARBokFt2nNEcFcv2vCQreTyI7pv68pP3+3PK2kpPf9KFwhpXbx6ePCV51W+AOBmsk6MJ9UuNJCDHYnpXM82wNqsltNhVmrE0DhbNd+Pieap81toUlVG3LzTKVWKcn57hmzWTCbIyDD360KNwTrTn0ianqw249w49xgLo/aMpZLzGPT1p7JCv76LGylZzVtWOT7DGcPz5Oxqb/UKY5o9Twgg+XRCUAO6sz+Hfm3WIfxfbeIg8y1gzDeGOQ/Ts0+AbmdF4DV1c/jjb1cJk/Y/RhvqDDOsVyYPgnsbdboYPDeNPHc8aXQm9R+UqFYYKwKpuGsieltUSQ2oBjHvtdWhch8D+lq9l8Vr2r5kfBaeeHcW6SzJK49HTYDHOlMUps51dm00x4BBXVlcSM8gzicYneRYu9TVL5n+GW4eQhrYgc9eWnfzhraDQgBZ6W3xiO9BqwFe1r+J2sfUAe7zhCStXDCiFhuleImnH4j+bNXcmOAFgUDkUxxa+zq3MxfsOgckeQf2SsA6pHYVVtF6q2GaA3L541rVR0nA28ubC511CUFnnsGoegTTB5ORoFgBeR2pV0nHJhBZmH1rv4lPCJvliyw80tC4s893YseHI0q7l00gYJRNkTE5BlVjubRl2M+jbJ65MWJk=\n-----END CERTIFICATE-----","",""
"cert_commonName","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","retraitesdeletat.gouv.fr","",""
"cert_commonName_wo_SNI","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","imperva.com","",""
"cert_subjectAltName","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","retraitesdeletat.gouv.fr","",""
"cert_trust","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","retraitesdeletat.gouv.fr/45.223.57.83","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","passed.","",""
"cert_certificatePolicies_EV","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","no","",""
"cert_expirationStatus","retraitesdeletat.gouv.fr/45.223.57.83","443","MEDIUM","expires < 60 days (39)","",""
"cert_notBefore","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","2025-04-02 22:00","",""
"cert_notAfter","retraitesdeletat.gouv.fr/45.223.57.83","443","MEDIUM","2025-07-01 21:59","",""
"cert_extlifeSpan","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","not present","",""
"cert_crlDistributionPoints","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","offered","",""
"cert_ocspRevoked","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","not revoked","",""
"cert_mustStapleExtension","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","--","",""
"DNS_CAArecord","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","issue=certigna.fr","",""
"certificate_transparency","retraitesdeletat.gouv.fr/45.223.57.83","443","OK","yes (certificate extension)","",""
"certs_countServer","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","2","",""
"certs_list_ordering_problem","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","no","",""
"cert_caIssuers","retraitesdeletat.gouv.fr/45.223.57.83","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
