"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","sbdu.entreprises.gouv.fr/","443","WARN","No engine or GOST support via engine with your /home/testssl/bin/openssl.Linux.x86_64","",""
"service","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","sbdu.entreprises.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","sbdu.entreprises.gouv.fr/80.87.236.17","443","OK","offered","",""
